,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
84,Agent d'encadrement des industries agro-alimentaires, Industries alimentaires ,2,11/03/2024,non spécifié, LAAYOUNE ,CDD,"Analyse et contrôle de qualités physique, chimique et biologique.",Bac + 2,(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
85,Magasinier d'entrepôt, Commerce de gros et intermédiaires du commerce ,4,11/03/2024,non spécifié, CASA-NOUACER,Choix Multiple,non spécifié,Baccalauréat,non spécifié,Francais : Bon,non spécifié
86,Instructeur prêt (banque), Auxiliaires financiers et d'assurance ,2,11/03/2024,19/03/2024, SALE ,CDD,non spécifié,"Bac + 2 ,Administration et finances ",(moins de 6 mois),non spécifié,non spécifié
87,Vendeur/Vendeuse, Autres ,2,11/03/2024,non spécifié, KENITRA ,CI,"vendeuses: accueillir et conseiller les clients, disposer les articles dans les rayons, vérifier l'étiquette des prix ","Technicien spécialisé ,Agent technique de vente ",(6 mois - 1 an),Francais : Moyen,non spécifié
88,Infirmier de service spécialisé, Santé et action sociale ,1,11/03/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CI,Assistante dentiste diplôme infirmière polyvalente première expérience dans un cabinet dentaire,"Technicien ,Assistance dentaire ",(6 mois - 1 an),"Francais : Bon, Arabe : Bon",non spécifié
89,Employé de bureau, Autres ,1,11/03/2024,non spécifié, MOHAMMEDIA ,CI,non spécifié,"Technicien ,Gestion des entreprises ",non spécifié,"Francais : Bon, Arabe : Bon",non spécifié
90,Electricien de maintenance, Construction ,5,09/03/2024,01/04/2024, EL JADIDA ,CDD,non spécifié,"Technicien spécialisé ,Electricité de maintenance industrielle ",(1 an - 2 ans),non spécifié,non spécifié
91,Secrétaire de direction, Construction ,1,08/03/2024,non spécifié, AL ISMAILIA ,CDI,TECHNICIEN SPÉCIALISE EN SECRÉTARIAT ,"Technicien spécialisé ,Assistant (e) de direction ",(2 ans - 3 ans),Francais : Courant,non spécifié
92,Fraiseur, Autres ,1,08/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien ,Méthodes en fabrication Mécanique ",(1 an - 2 ans),Francais : Bon,non spécifié
93,Dessinateur projeteur de la construction mécanique et du travail des métaux, Commerce de gros et intermédiaires du commerce ,1,08/03/2024,non spécifié, MEKNES-EL MENZEH,CDD,non spécifié,"Technicien spécialisé ,Fabrication mécanique ",(6 mois - 1 an),Francais : Moyen,non spécifié
94,Commercial/Commerciale, Services fournis principalement aux entreprises ,2,08/03/2024,01/04/2024, CASA-ANFA SUPERIEUR,CI,salaire fixe 3000dh + commissions ,"Technicien spécialisé ,Commerce et Gestion ",(6 mois - 1 an),"Arabe : Courant, Francais : Courant",non spécifié
95,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,1,08/03/2024,non spécifié, OUARZAZATE ,CI,non spécifié,"Technicien ,Réception d'hôtel ",(6 mois - 1 an),"Francais : Bon, Anglais : Bon",non spécifié
96,Conseiller en voyage (billettiste), Hôtellerie et restauration ,1,08/03/2024,18/03/2024, Sidi Bennour,CI,non spécifié,"Technicien ,Agent de voyage et du tourisme ",(moins de 6 mois),non spécifié,non spécifié
97,Agent de montage-assemblage de la construction mécanique, Transports aériens ,20,08/03/2024,non spécifié, CASA-NOUACER,CI,non spécifié,"Technicien spécialisé ,Bureau d'étude en construction métallique ",non spécifié,Francais : Bon,non spécifié
98,Technicien de maintenance sur installation industrielle automatisé," Fabrication d'instruments médicaux, de précision d'optique et d'horlogerie ",3,08/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Charge (e) de la maintenance des systèmes automatises ",non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
99,Aide comptable, Services fournis principalement aux entreprises ,1,08/03/2024,01/04/2024, MARRAKECH GUELIZ-ENNAKHIL,CDI,salaire le SMIG,"Technicien ,Comptable d'entreprises ",(moins de 6 mois),Francais : Bon,non spécifié
